epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6998,1.75026,3.93946,1.86935,0.00566,0.75709,0.05971,0.03201,1.6705,3.51363,1.98106,0.000270162,0.000270162,0.000270162
2,47.6816,1.61389,3.19501,1.69316,0.38668,0.17844,0.0974,0.04181,1.8356,2.93686,2.02444,0.000542405,0.000542405,0.000542405
3,70.2238,1.63857,2.95459,1.66504,0.3751,0.20022,0.06721,0.03182,1.99861,8.14052,2.28197,0.000809151,0.000809151,0.000809151
4,93.3181,1.64068,2.71937,1.68386,0.40161,0.23659,0.1671,0.07017,1.94487,3.40169,2.02094,0.00080826,0.00080826,0.00080826
5,115.908,1.59136,2.5016,1.63803,0.36533,0.2793,0.20607,0.08845,1.83692,2.90737,1.93875,0.000800013,0.000800013,0.000800013
6,138.421,1.58865,2.33434,1.61519,0.2253,0.3299,0.19854,0.10008,1.79328,2.88839,1.97886,0.000791767,0.000791767,0.000791767
7,160.846,1.54677,2.147,1.56535,0.31762,0.37958,0.28386,0.14155,1.72028,2.58774,1.75255,0.00078352,0.00078352,0.00078352
8,183.464,1.54436,2.05993,1.56075,0.58602,0.38741,0.40237,0.20483,1.7331,2.04409,1.77215,0.000775273,0.000775273,0.000775273
9,205.982,1.51207,1.96845,1.54929,0.54228,0.37311,0.41272,0.20798,1.70777,1.94236,1.69991,0.000767026,0.000767026,0.000767026
10,228.501,1.54073,1.95428,1.53064,0.70277,0.40759,0.49905,0.2617,1.63366,1.91668,1.67894,0.00075878,0.00075878,0.00075878
11,251.112,1.49675,1.79094,1.52263,0.49133,0.4052,0.38588,0.1867,1.82125,2.05553,1.82922,0.000750533,0.000750533,0.000750533
12,273.546,1.50619,1.74581,1.51119,0.38192,0.25572,0.2401,0.11588,1.88961,2.86673,2.02005,0.000742286,0.000742286,0.000742286
13,296.179,1.48325,1.68986,1.49222,0.5503,0.42564,0.44893,0.22594,1.74405,2.18491,1.80107,0.00073404,0.00073404,0.00073404
14,318.633,1.47119,1.62803,1.49214,0.65021,0.46596,0.56177,0.29397,1.60769,1.68856,1.64786,0.000725793,0.000725793,0.000725793
15,340.978,1.46189,1.5805,1.47067,0.73602,0.26962,0.39012,0.18845,1.69868,2.35441,1.82606,0.000717546,0.000717546,0.000717546
